Model ID,Status,,Maps,VPO,Method,nTrMols,nTsMols,External Pred,r&sup2; STE,q&sup2;<sub>cv</sub> STE,q&sup2;<sub>ext</sub> STE,Optimal PC STE,r&sup2; ELE,q&sup2;<sub>cv</sub> ELE,q&sup2;<sub>ext</sub> ELE,Optimal PC ELE,r&sup2; SUM,q&sup2;<sub>cv</sub> SUM,q&sup2;<sub>ext</sub> SUM,Optimal PC SUM,r&sup2; COMBINED,q&sup2;<sub>cv</sub> COMBINED,q&sup2;<sub>ext</sub> COMBINED,Optimal PC COMBINED,|,COMBINED CV Score,COMBINED Pred Score,COMBINED Full Score,|,MixedFields CV Score,MixedFields Pred Score,MixedFields Full Score,|,AllFields CV Score,AllFields Pred Score,AllFields Full Score,|,Probe,Probe Charge,Charge Model,Min Sigma,Scaling,Max N Components,Grid Spacing,Grid Extension,Diel Const,CutOff,CutOff (2),# Level,CV Type,CV Groups,CV Iters,CV Random,Min SDEP Increment,SA Opt,SA Ti,SA Tf,SA cool factor,SA Min Vars,Y-Scrambling,Y-S Iterations
205474,completed,Results,Missing,true,Autogrid,36,6,True,0.516,-0.055,0.666,2,0.749,0.276,-0.497,5,0.665,0.056,0.366,2,0.695,0.188,0.574,2,|,0.458,0.716,0.574,|,0.415,0.647,0.526,|,0.411,0.493,0.418,|,N.4,1,eem2015bm,0.100,true,8,2.100,3.000,61.000,12.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205476,completed,Results,Missing,true,EasyMIF,36,6,True,0.391,-0.064,-0.816,1,0.582,0.223,-1.062,1,0.412,-0.038,-0.135,1,0.643,0.204,-1.613,1,|,0.469,-0.742,-0.380,|,0.389,-0.249,-0.011,|,0.388,-0.271,-0.024,|,OH,1,eem,0.400,true,8,3.200,6.000,48.000,4.000,False,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205477,completed,Results,Missing,true,Autogrid,36,6,True,0.252,-0.036,-0.201,1,0.525,0.359,0.771,1,0.836,0.467,0.649,3,0.735,0.380,0.874,2,|,0.587,0.823,0.667,|,0.616,0.795,0.685,|,0.528,0.618,0.590,|,I,1,gasteiger,0.500,true,8,1.000,6.000,12.000,7.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205481,completed,Results,Missing,true,O3G,36,6,True,0.687,0.129,0.217,2,0.406,0.206,0.452,1,0.394,0.181,0.376,1,0.441,0.204,0.447,1,|,0.469,0.627,0.601,|,0.462,0.606,0.594,|,0.453,0.573,0.568,|,S.3,1,qtpie,0.800,true,8,2.100,9.000,61.000,14.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205482,completed,Results,Missing,true,Autogrid,36,6,True,0.593,-0.077,-0.069,2,0.484,0.044,0.940,2,0.864,0.400,0.679,4,0.706,0.126,0.725,2,|,0.417,0.804,0.560,|,0.509,0.795,0.614,|,0.415,0.633,0.506,|,S.o,1,eem2015bm,0.100,true,8,1.800,8.000,47.000,22.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205483,completed,Results,Missing,true,EasyMIF,36,6,True,0.554,-0.014,-0.448,1,0.561,0.347,0.655,1,0.632,0.339,0.337,1,0.989,0.511,0.584,6,|,0.674,0.723,0.688,|,0.616,0.640,0.654,|,0.530,0.506,0.537,|,N.4,1,gasteiger,0.500,true,8,2.000,8.000,19.000,3.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205484,completed,Results,Missing,true,TRIPOS,36,6,True,0.682,0.147,-0.137,2,0.638,0.458,0.431,2,0.841,0.330,0.633,3,0.795,0.325,0.733,2,|,0.550,0.822,0.652,|,0.552,0.788,0.641,|,0.543,0.610,0.578,|,S.3,1,openbabel,0.500,true,8,1.200,5.000,10.000,26.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205485,completed,Results,Missing,true,O3G,36,6,True,0.664,0.130,0.117,2,0.883,0.512,0.580,3,0.812,0.411,0.628,2,0.874,0.462,0.592,2,|,0.641,0.728,0.684,|,0.624,0.740,0.679,|,0.586,0.653,0.633,|,N.4,1,eem2015ba,0.300,true,8,1.700,9.000,18.000,29.000,True,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205486,completed,Results,Missing,true,EasyMIF,36,6,True,0.289,-0.048,-0.010,1,0.585,-2.238,-2.258,8,0.271,-0.341,-0.560,1,0.424,-0.427,0.383,2,|,0.049,0.588,0.280,|,0.077,0.274,0.199,|,-0.176,-0.074,-0.069,|,O.3,1,qtpie,0.900,true,8,3.400,4.000,68.000,24.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205487,completed,Results,Missing,true,Autogrid,36,6,True,0.238,-0.147,-0.292,1,0.565,0.365,-0.072,1,0.301,0.074,-0.085,1,0.536,0.249,-0.150,1,|,0.499,0.233,0.377,|,0.441,0.255,0.398,|,0.423,0.233,0.379,|,Na,1,eem,0.100,true,8,2.300,7.000,27.000,6.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
